EMIRATOS ARABES UNIDOS;Abu Dhabi;54.65110016;24.43300056
EMIRATOS ARABES UNIDOS;Dubai;55.36439896;25.25279999
EMIRATOS ARABES UNIDOS;Jebel Ali;55.161389;24.896356
EMIRATOS ARABES UNIDOS;Sharjah;55.51720047;25.32859993
ALEMANIA;Munich;11.7861;48.353802
ALEMANIA;Nuremberg;11.078056;49.498699
ESPANA;Sta Cruz de la Palma, La Palma Island;-17.7556;28.626499
ESPANA;Gran Canaria Island;-15.38659954;27.93190002
ESPANA;Tenerife Island;-16.57250023;28.04450035
ESPANA;Tenerife Island;-16.34149933;28.48270035
FRANCIA;Paris;2.55;49.012798
FRANCIA;Paris;2.3794444;48.7233333
MEXICO;Guadalajara;-103.310997;20.52179909
MEXICO;Hermosillo;-111.0479965;29.09589958
MEXICO;Mexico City;-99.072098;19.4363
MEXICO;Monterrey;-100.1070023;25.7784996
MEXICO;Puerto Vallarta;-105.2539978;20.68009949
RUSIA;Lipetsk;39.44499969;52.63499832
RUSIA;Grozny;45.698601;43.388302
RUSIA;Belogorsk;128.445007;51.169997
RUSIA;Olenegorsk;33.46390152;68.15180206
RUSIA;Khabarovsk;135.1880035;48.52799988
RUSIA;St. Petersburg;30.26250076;59.8003006
RUSIA;Krasnoyarsk;92.493301;56.172901
RUSIA;Novosibirsk;82.65070343;55.01259995
RUSIA;Rostov-on-Don;39.924722;47.493888
RUSIA;Sochi;39.9566;43.449902
RUSIA;Yekaterinburg;60.80270004;56.74309921
RUSIA;Moscow;38.150002;55.553299
RUSIA;Moscow;37.90629959;55.40879822
ESTADOS UNIDOS;Columbia;-81.11949921;33.93880081
ESTADOS UNIDOS;Columbus;-88.44380188;33.64379883
ESTADOS UNIDOS;Chattanooga;-85.20379639;35.03530121
EL SALVADOR;San Salvador;-89.11990356;13.69950008
